id,criterion,fr_ids,inv_ids,edge_case,evidence_required,status
IA-01,Import preserves original fictional text and immutable identity/version or visibly rejects unreadable input,FR-01 FR-02,INV-01,Unsupported PDF or missing anchor,Fixture input compared byte-for-byte with stored text; rejected card absent,NOT_IMPLEMENTED
IA-02,Every published field opens its exact quotation with version and resolvable anchor,FR-02 FR-12,INV-01 INV-09,Repeated identical spans,Field-to-span tests distinguish repeated spans and verify focused source panel,NOT_IMPLEMENTED
IA-03,A new upload without explicit replacement never wins disputed appointment details,FR-03 FR-05,INV-03 INV-04 INV-08,Friday note uploaded last,Two-source fixture plus task-gate rejection and visible unresolved relationship,NOT_IMPLEMENTED
IA-04,Explicit claimed replacement shows old and new wording and does not authenticate source identity,FR-05,INV-03 INV-04,Uploader claims clinician authorship,Relationship event and UI copy preserve unauthenticated status,NOT_IMPLEMENTED
IA-05,Conflicting appointment evidence remains conflicted after acknowledgement completion and rehearsal,FR-03 FR-04 FR-08,INV-02 INV-03 INV-08,User acknowledges both sources,State snapshots before and after all three actions show no conflict resolution,NOT_IMPLEMENTED
IA-06,Clarification preparation may cite both sources but cannot select either disputed appointment,FR-04 FR-09,INV-08,Task suggestion contains Friday time as chosen plan,Rejected candidate and neutral exported question with both source references,NOT_IMPLEMENTED
IA-07,Changed transport dependency invalidates old acknowledgement and rehearsal current validity,FR-06 FR-08,INV-05,Explicit Thursday to Friday replacement,Before/after dependency state plus immutable historical events,NOT_IMPLEMENTED
IA-08,An unchanged contact-only task retains validity through verified mapping without relabeling its old acknowledgement,FR-05 FR-06,INV-01 INV-05,Unchanged office contact but changed appointment,Dependency mapping evidence and original revision label remain inspectable,NOT_IMPLEMENTED
IA-09,Uncertain correspondence blocks dependent actions and requests review or disclosed document-wide invalidation,FR-05 FR-06,INV-04 INV-05,One old span maps to two new spans,Ambiguous fixture trace and visible conservative fallback if selected,NOT_IMPLEMENTED
IA-10,Historical completed transport arrangement remains completed for original revision while current view is stale,FR-06,INV-06,Replacement after completion,Append-only event comparison and separate current-state/history screenshots,NOT_IMPLEMENTED
IA-11,Service rejects obsolete acknowledgement atomically and client requires new explicit review,FR-07,INV-07,v2 accepted before v1 acknowledgement arrives,Real two-context service trace showing rejection and absence of stale accepted event,NOT_IMPLEMENTED
IA-12,Repeated accepted event key yields one event and repeated rejected stale write cannot restore validity,FR-07,INV-07,Network retry after response loss,Persistence query and replay trace for successful and stale requests,NOT_IMPLEMENTED
IA-13,Unauthorized actors cannot assign acknowledge or complete another isolated case,FR-07 FR-11,INV-07 INV-11,Cross-session object identifier,Service access-denial evidence with unchanged victim case event count,NOT_IMPLEMENTED
IA-14,Stale ownership or completion write is rejected by service revision checks,FR-06 FR-07,INV-06 INV-07,Old tab completes transport after replacement,Race trace retaining original history without accepting obsolete mutation,NOT_IMPLEMENTED
IA-15,Rehearsal cites exact reviewed version and mismatch feedback returns only to source wording,FR-08,INV-05 INV-10,Answer matches v1 while reviewing v2,Prompt and attempt records plus no invented corrective guidance,NOT_IMPLEMENTED
IA-16,Unclear rehearsal answer remains unclear and does not become passed review or clinical approval,FR-08,INV-02 INV-03 INV-10,User selects unclear repeatedly,Attempt history and unchanged coordination/evidence state,NOT_IMPLEMENTED
IA-17,Medication quotations have no administration task reminder dose calculation or treatment control,FR-02 FR-04,INV-09,Medication-like text offered to task gate,Quotation fidelity fixture and deterministic rejection of prohibited task types,NOT_IMPLEMENTED
IA-18,Keyboard can open inspect and close sources and complete review with visible focus and restored focus,FR-12,INV-01,Source panel opened from change comparison,Keyboard walkthrough record including focus order and source/version accessible names,NOT_IMPLEMENTED
IA-19,At 320 CSS pixels old/new blocks stack without hiding quotations state or actions,FR-12,INV-02,Long source line and long version identifier,Viewport screenshots and no page-wide horizontal scrolling check,NOT_IMPLEMENTED
IA-20,Offline snapshot and unsent acknowledgement never appear synchronized or accepted,FR-10,INV-07 INV-10,Disconnect during acknowledgement,Network interruption trace; refresh before explicit retry; persistent offline label,NOT_IMPLEMENTED
IA-21,Cached model output and role switching show visible replay and simulation labels on every relevant screen,FR-10,INV-10,Navigate from source to rehearsal,Screen sequence showing labels; real synchronization claim requires two-context evidence,NOT_IMPLEMENTED
IA-22,Export preserves versions owners acknowledgement status unresolved questions and stale snapshot labels,FR-09 FR-10,INV-02 INV-08 INV-10,Export conflict and superseded completion,Export inspection compared with authoritative source/status records,NOT_IMPLEMENTED
IA-23,Source instructions and malicious markup remain inert data with no external action or unsafe rendering,FR-01 FR-11,INV-11,Source requests network call or includes active markup,Safe rendering and outbound-request observation; source text preserved,NOT_IMPLEMENTED
IA-24,Reset removes persisted synthetic session records and bounded input visibly rejects oversized content,FR-01 FR-11,INV-11,Reset then revisit old scoped reference,Storage/readback tests and bounded-input rejection without body/token logs,NOT_IMPLEMENTED
IA-25,Ownership reconfirmation creates new revision-bound event separate from acknowledgement and completion,FR-06,INV-02 INV-05,Lee assigned v1 then reviews v2,Event records and UI distinguish all three actions without rewriting v1,NOT_IMPLEMENTED
IA-26,Evaluator path reports actual denominators failures abstentions and run configuration with unrun states explicit,FR-12,INV-09 INV-10,No completed evaluation or unavailable replay/live distinction,Evaluator output inspected against stored run artifacts without fabricated metrics,NOT_IMPLEMENTED
