id,description,severity,evidence_status,mitigation,trigger,owner_role
R-01,"Medical-source or extraction error could preserve an incorrect instruction or corrupt negation while appearing cited",critical,plan_identified_unvalidated,"Keep quotations review-only where medical; block unsupported fields; seek independent semantic review; no clinical correctness claim","Any invented or altered critical field or source treated as clinically validated",Safety reviewer (unassigned)
R-02,"Source revision could leave an acknowledgement or completed-task view falsely current",critical,plan_identified_unvalidated,"Bind derived state to revisions; invalidate dependencies; preserve historical events; reject stale writes under INV-05 through INV-07","Changed dependency retains current acknowledgement or stale write succeeds",Engineering lead (unassigned)
R-03,"A later upload or acknowledgement could incorrectly resolve conflicting sources",critical,plan_identified_unvalidated,"Require explicit replacement link; keep conflict state separate; permit clarification not disputed action under INV-03 and INV-08","Last-upload-wins behavior or acknowledgement clears conflict",Safety reviewer (unassigned)
R-04,"Claimed novelty overlaps existing sourced discharge education and rehearsal products",high,secondary_plan_vendor_claims,"Use narrow revision-to-rehearsal hypothesis; conduct later direct competitor comparison; avoid first-ever claims","Close end-to-end competitor found or target adults find no added value",Product lead (unassigned)
R-05,"Entrant may not satisfy student age geography or guardian conditions",critical,user_confirmation_pending,"Require private human eligibility confirmation and current-rule review before registration; do not store identity documents","Eligibility cannot be confirmed or a restriction excludes entrant",Entrant (unconfirmed)
R-06,"Model access reliability pricing or retention terms may prevent proposed extraction and rehearsal",high,access_unverified,"Select only after authorized feasibility work; bound spend; support visible unavailability and labeled replay; never assume free credits","No usable authorized endpoint or cost/retention terms exceed approved limits",Engineering lead (unassigned)
R-07,"Independent annotation or qualified language-review availability may be insufficient",high,review_availability_pending,"Recruit separately with consent; record coverage and disagreements; narrow health-rigor claims if unavailable","No reviewer at planned checkpoint or review coverage falls below declared protocol",Evaluation lead (unassigned)
R-08,"Scope expands into OCR general medical advice medication tracking or ornamental UI",high,planning_risk,"Enforce FR-04 and non-goals; cut optional features before provenance and revision integrity","New feature displaces core acceptance work or requires therapeutic inference",Project lead (unassigned)
R-09,"Real health history contact details or sensitive source text could enter repository logs or model prompts",critical,privacy_controls_not_implemented,"Fictional inputs only; adult consent; minimize and separate contact data; safe logging and deletion; no raw note uploads","Participant shares health details or sensitive data is captured",Research lead (unassigned)
R-10,"Conflicting IST and CST wording or code-PDF ambiguity could cause late or incomplete submission",high,secondary_plan_conflicting_rules,"Keep internal October 6 target; obtain exact UTC and asset requirements; later test submission mechanism with authorization","No organizer clarification before submission planning or portal requirements differ",Entrant and submission lead (unassigned)
R-11,"Acknowledgement rehearsal or citations may be mistaken for medical approval or competence",critical,persona_hypothesis_unvalidated,"Separate evidence coordination and rehearsal states; use neutral labels; test interpretation with fictional cases","Any participant treats blocked detail as permission or acknowledgement as clinical approval",Design and research lead (unassigned)
R-12,"PDF layout or missing anchors may silently omit supported content",high,feasibility_unverified,"Reject unreliable import; offer pasted text; require per-field anchors; disclose unsupported layouts","Anchor cannot resolve or extraction silently drops table/negation context",Engineering lead (unassigned)
R-13,"Synthetic evaluation labels may leak across families or be mistaken for independent clinical validation",high,evaluation_not_started,"Split by family before tuning; isolate locked labels; disclose reviewer provenance and regressions; publish actual denominators","Template leakage or generator-only gold called independently validated",Evaluation lead (unassigned)
R-14,"Role-switch simulation cached inference or offline state may be represented as live synchronization",high,implementation_not_started,"Visible simulation/replay/offline labels; require actual two-context and live-run evidence for claims","Demo narrative implies network/model success without executed evidence",QA lead (unassigned)
R-15,"Document instructions or markup may trigger unsafe actions or cross-session disclosure",critical,security_not_implemented,"Treat source as untrusted data; no document-authorized tools; bound input; safe rendering and server-side isolation","Prompt injection changes workflow authority or content crosses sessions",Security reviewer (unassigned)
R-16,"Reuse licenses or restricted health-page material could invalidate corpus distribution or attribution",high,permissions_unverified,"Author original fiction; do not copy MedlinePlus text into datasets; confirm reuse and AI disclosure with organizer","Third-party text enters corpus without permission or reuse rule remains unresolved",Entrant and evaluation lead (unassigned)
R-17,"Protected AGENTS.md creation previously blocked pending approval",high,resolved_after_user_authorization,"Explicit user authorization received; protected write succeeded; verifier confirms file; retain approval requirement for future protected changes","A future protected change lacks approval",Workspace owner
